Mon Dec 14 11:20:31 2020  [INFO]: updated gui
Mon Dec 14 11:20:32 2020  [INFO]: Started reading
Mon Dec 14 11:20:32 2020  [INFO]: hologram updated
Mon Dec 14 11:20:32 2020  [INFO]: photostim sent
Mon Dec 14 11:20:32 2020  [INFO]: Returned to client
Mon Dec 14 11:20:32 2020  [INFO]: updated gui
Mon Dec 14 11:20:33 2020  [INFO]: Started reading
Mon Dec 14 11:20:33 2020  [INFO]: hologram updated
Mon Dec 14 11:20:33 2020  [INFO]: photostim sent
Mon Dec 14 11:20:33 2020  [INFO]: Returned to client
Mon Dec 14 11:20:33 2020  [INFO]: updated gui
Mon Dec 14 11:20:33 2020  [INFO]: Started reading
Mon Dec 14 11:20:33 2020  [INFO]: hologram updated
Mon Dec 14 11:20:33 2020  [INFO]: photostim sent
Mon Dec 14 11:20:33 2020  [INFO]: Returned to client
Mon Dec 14 11:20:33 2020  [INFO]: updated gui
Mon Dec 14 11:20:34 2020  [INFO]: Started reading
Mon Dec 14 11:20:34 2020  [INFO]: hologram updated
Mon Dec 14 11:20:34 2020  [INFO]: photostim sent
Mon Dec 14 11:20:34 2020  [INFO]: Returned to client
Mon Dec 14 11:20:34 2020  [INFO]: updated gui
Mon Dec 14 11:20:35 2020  [INFO]: Started reading
Mon Dec 14 11:20:35 2020  [INFO]: hologram updated
Mon Dec 14 11:20:35 2020  [INFO]: photostim sent
Mon Dec 14 11:20:35 2020  [INFO]: Returned to client
Mon Dec 14 11:20:35 2020  [INFO]: updated gui
Mon Dec 14 11:20:35 2020  [INFO]: Started reading
Mon Dec 14 11:20:35 2020  [INFO]: hologram updated
Mon Dec 14 11:20:35 2020  [INFO]: photostim sent
Mon Dec 14 11:20:35 2020  [INFO]: Returned to client
Mon Dec 14 11:20:35 2020  [INFO]: updated gui
Mon Dec 14 11:20:36 2020  [INFO]: Started reading
Mon Dec 14 11:20:36 2020  [INFO]: hologram updated
Mon Dec 14 11:20:36 2020  [INFO]: photostim sent
Mon Dec 14 11:20:36 2020  [INFO]: Returned to client
Mon Dec 14 11:20:36 2020  [INFO]: updated gui
Mon Dec 14 11:20:37 2020  [INFO]: Started reading
Mon Dec 14 11:20:37 2020  [INFO]: hologram updated
Mon Dec 14 11:20:37 2020  [INFO]: photostim sent
Mon Dec 14 11:20:37 2020  [INFO]: Returned to client
Mon Dec 14 11:20:37 2020  [INFO]: updated gui
Mon Dec 14 11:20:37 2020  [INFO]: Started reading
Mon Dec 14 11:20:37 2020  [INFO]: hologram updated
Mon Dec 14 11:20:37 2020  [INFO]: photostim sent
Mon Dec 14 11:20:37 2020  [INFO]: Returned to client
Mon Dec 14 11:20:37 2020  [INFO]: updated gui
Mon Dec 14 11:20:38 2020  [INFO]: Started reading
Mon Dec 14 11:20:38 2020  [INFO]: hologram updated
Mon Dec 14 11:20:38 2020  [INFO]: photostim sent
Mon Dec 14 11:20:38 2020  [INFO]: Returned to client
Mon Dec 14 11:20:38 2020  [INFO]: updated gui
Mon Dec 14 11:20:39 2020  [INFO]: Started reading
Mon Dec 14 11:20:39 2020  [INFO]: hologram updated
Mon Dec 14 11:20:39 2020  [INFO]: photostim sent
Mon Dec 14 11:20:39 2020  [INFO]: Returned to client
Mon Dec 14 11:20:39 2020  [INFO]: updated gui
Mon Dec 14 11:20:39 2020  [INFO]: Started reading
Mon Dec 14 11:20:39 2020  [INFO]: hologram updated
Mon Dec 14 11:20:39 2020  [INFO]: photostim sent
Mon Dec 14 11:20:39 2020  [INFO]: Returned to client
Mon Dec 14 11:20:39 2020  [INFO]: updated gui
Mon Dec 14 11:20:40 2020  [INFO]: Started reading
Mon Dec 14 11:20:40 2020  [INFO]: hologram updated
Mon Dec 14 11:20:40 2020  [INFO]: photostim sent
Mon Dec 14 11:20:40 2020  [INFO]: Returned to client
Mon Dec 14 11:20:40 2020  [INFO]: updated gui
Mon Dec 14 11:20:41 2020  [INFO]: Started reading
Mon Dec 14 11:20:41 2020  [INFO]: hologram updated
Mon Dec 14 11:20:41 2020  [INFO]: photostim sent
Mon Dec 14 11:20:41 2020  [INFO]: Returned to client
Mon Dec 14 11:20:41 2020  [INFO]: updated gui
Mon Dec 14 11:20:41 2020  [INFO]: Started reading
Mon Dec 14 11:20:41 2020  [INFO]: hologram updated
Mon Dec 14 11:20:41 2020  [INFO]: photostim sent
Mon Dec 14 11:20:41 2020  [INFO]: Returned to client
Mon Dec 14 11:20:41 2020  [INFO]: updated gui
Mon Dec 14 11:20:42 2020  [INFO]: Started reading
Mon Dec 14 11:20:42 2020  [INFO]: hologram updated
Mon Dec 14 11:20:42 2020  [INFO]: photostim sent
Mon Dec 14 11:20:42 2020  [INFO]: Returned to client
Mon Dec 14 11:20:42 2020  [INFO]: updated gui
Mon Dec 14 11:20:43 2020  [INFO]: Started reading
Mon Dec 14 11:20:43 2020  [INFO]: hologram updated
Mon Dec 14 11:20:43 2020  [INFO]: photostim sent
Mon Dec 14 11:20:43 2020  [INFO]: Returned to client
Mon Dec 14 11:20:43 2020  [INFO]: updated gui
Mon Dec 14 11:20:43 2020  [INFO]: Started reading
Mon Dec 14 11:20:43 2020  [INFO]: hologram updated
Mon Dec 14 11:20:43 2020  [INFO]: photostim sent
Mon Dec 14 11:20:43 2020  [INFO]: Returned to client
Mon Dec 14 11:20:43 2020  [INFO]: updated gui
Mon Dec 14 11:20:44 2020  [INFO]: Started reading
Mon Dec 14 11:20:44 2020  [INFO]: hologram updated
Mon Dec 14 11:20:44 2020  [INFO]: photostim sent
Mon Dec 14 11:20:44 2020  [INFO]: Returned to client
Mon Dec 14 11:20:44 2020  [INFO]: updated gui
Mon Dec 14 11:20:45 2020  [INFO]: Started reading
Mon Dec 14 11:20:45 2020  [INFO]: hologram updated
Mon Dec 14 11:20:45 2020  [INFO]: photostim sent
Mon Dec 14 11:20:45 2020  [INFO]: Returned to client
Mon Dec 14 11:20:45 2020  [INFO]: updated gui
Mon Dec 14 11:20:45 2020  [INFO]: Started reading
Mon Dec 14 11:20:45 2020  [INFO]: hologram updated
Mon Dec 14 11:20:45 2020  [INFO]: photostim sent
Mon Dec 14 11:20:45 2020  [INFO]: Returned to client
Mon Dec 14 11:20:45 2020  [INFO]: updated gui
Mon Dec 14 11:20:46 2020  [INFO]: Started reading
Mon Dec 14 11:20:46 2020  [INFO]: hologram updated
Mon Dec 14 11:20:46 2020  [INFO]: photostim sent
Mon Dec 14 11:20:46 2020  [INFO]: Returned to client
Mon Dec 14 11:20:46 2020  [INFO]: updated gui
Mon Dec 14 11:20:47 2020  [INFO]: Started reading
Mon Dec 14 11:20:47 2020  [INFO]: hologram updated
Mon Dec 14 11:20:47 2020  [INFO]: photostim sent
Mon Dec 14 11:20:47 2020  [INFO]: Returned to client
Mon Dec 14 11:20:47 2020  [INFO]: updated gui
Mon Dec 14 11:20:47 2020  [INFO]: Started reading
Mon Dec 14 11:20:47 2020  [INFO]: hologram updated
Mon Dec 14 11:20:47 2020  [INFO]: photostim sent
Mon Dec 14 11:20:47 2020  [INFO]: Returned to client
Mon Dec 14 11:20:47 2020  [INFO]: updated gui
Mon Dec 14 11:20:48 2020  [INFO]: Started reading
Mon Dec 14 11:20:48 2020  [INFO]: hologram updated
Mon Dec 14 11:20:48 2020  [INFO]: photostim sent
Mon Dec 14 11:20:48 2020  [INFO]: Returned to client
Mon Dec 14 11:20:48 2020  [INFO]: updated gui
Mon Dec 14 11:20:49 2020  [INFO]: Started reading
Mon Dec 14 11:20:49 2020  [INFO]: hologram updated
Mon Dec 14 11:20:49 2020  [INFO]: photostim sent
Mon Dec 14 11:20:49 2020  [INFO]: Returned to client
Mon Dec 14 11:20:49 2020  [INFO]: updated gui
Mon Dec 14 11:20:49 2020  [INFO]: Started reading
Mon Dec 14 11:20:49 2020  [INFO]: hologram updated
Mon Dec 14 11:20:49 2020  [INFO]: photostim sent
Mon Dec 14 11:20:49 2020  [INFO]: Returned to client
Mon Dec 14 11:20:49 2020  [INFO]: updated gui
Mon Dec 14 11:20:50 2020  [INFO]: Started reading
Mon Dec 14 11:20:50 2020  [INFO]: hologram updated
Mon Dec 14 11:20:50 2020  [INFO]: photostim sent
Mon Dec 14 11:20:50 2020  [INFO]: Returned to client
Mon Dec 14 11:20:50 2020  [INFO]: updated gui
Mon Dec 14 11:20:51 2020  [INFO]: Started reading
Mon Dec 14 11:20:51 2020  [INFO]: hologram updated
Mon Dec 14 11:20:51 2020  [INFO]: photostim sent
Mon Dec 14 11:20:51 2020  [INFO]: Returned to client
Mon Dec 14 11:20:51 2020  [INFO]: updated gui
Mon Dec 14 11:20:51 2020  [INFO]: Started reading
Mon Dec 14 11:20:51 2020  [INFO]: hologram updated
Mon Dec 14 11:20:51 2020  [INFO]: photostim sent
Mon Dec 14 11:20:51 2020  [INFO]: Returned to client
Mon Dec 14 11:20:51 2020  [INFO]: updated gui
Mon Dec 14 11:20:52 2020  [INFO]: Started reading
Mon Dec 14 11:20:52 2020  [INFO]: hologram updated
Mon Dec 14 11:20:52 2020  [INFO]: photostim sent
Mon Dec 14 11:20:52 2020  [INFO]: Returned to client
Mon Dec 14 11:20:52 2020  [INFO]: updated gui
Mon Dec 14 11:20:53 2020  [INFO]: Started reading
Mon Dec 14 11:20:53 2020  [INFO]: hologram updated
Mon Dec 14 11:20:53 2020  [INFO]: photostim sent
Mon Dec 14 11:20:53 2020  [INFO]: Returned to client
Mon Dec 14 11:20:53 2020  [INFO]: updated gui
Mon Dec 14 11:20:53 2020  [INFO]: Started reading
Mon Dec 14 11:20:53 2020  [INFO]: hologram updated
Mon Dec 14 11:20:53 2020  [INFO]: photostim sent
Mon Dec 14 11:20:53 2020  [INFO]: Returned to client
Mon Dec 14 11:20:53 2020  [INFO]: updated gui
Mon Dec 14 11:20:54 2020  [INFO]: Started reading
Mon Dec 14 11:20:54 2020  [INFO]: hologram updated
Mon Dec 14 11:20:54 2020  [INFO]: photostim sent
Mon Dec 14 11:20:54 2020  [INFO]: Returned to client
Mon Dec 14 11:20:54 2020  [INFO]: updated gui
Mon Dec 14 11:20:55 2020  [INFO]: Started reading
Mon Dec 14 11:20:55 2020  [INFO]: hologram updated
Mon Dec 14 11:20:55 2020  [INFO]: photostim sent
Mon Dec 14 11:20:55 2020  [INFO]: Returned to client
Mon Dec 14 11:20:55 2020  [INFO]: updated gui
Mon Dec 14 11:20:55 2020  [INFO]: Started reading
Mon Dec 14 11:20:55 2020  [INFO]: hologram updated
Mon Dec 14 11:20:55 2020  [INFO]: photostim sent
Mon Dec 14 11:20:55 2020  [INFO]: Returned to client
Mon Dec 14 11:20:55 2020  [INFO]: updated gui
Mon Dec 14 11:20:56 2020  [INFO]: Started reading
Mon Dec 14 11:20:56 2020  [INFO]: hologram updated
Mon Dec 14 11:20:56 2020  [INFO]: photostim sent
Mon Dec 14 11:20:56 2020  [INFO]: Returned to client
Mon Dec 14 11:20:56 2020  [INFO]: updated gui
Mon Dec 14 11:20:57 2020  [INFO]: Started reading
Mon Dec 14 11:20:57 2020  [INFO]: hologram updated
Mon Dec 14 11:20:57 2020  [INFO]: photostim sent
Mon Dec 14 11:20:57 2020  [INFO]: Returned to client
Mon Dec 14 11:20:57 2020  [INFO]: updated gui
Mon Dec 14 11:20:57 2020  [INFO]: Started reading
Mon Dec 14 11:20:57 2020  [INFO]: hologram updated
Mon Dec 14 11:20:57 2020  [INFO]: photostim sent
Mon Dec 14 11:20:57 2020  [INFO]: Returned to client
Mon Dec 14 11:20:57 2020  [INFO]: updated gui
Mon Dec 14 11:20:58 2020  [INFO]: Started reading
Mon Dec 14 11:20:58 2020  [INFO]: hologram updated
Mon Dec 14 11:20:58 2020  [INFO]: photostim sent
Mon Dec 14 11:20:58 2020  [INFO]: Returned to client
Mon Dec 14 11:20:58 2020  [INFO]: updated gui
Mon Dec 14 11:20:58 2020  [INFO]: Started reading
Mon Dec 14 11:20:59 2020  [INFO]: hologram updated
Mon Dec 14 11:20:59 2020  [INFO]: photostim sent
Mon Dec 14 11:20:59 2020  [INFO]: Returned to client
Mon Dec 14 11:20:59 2020  [INFO]: updated gui
Mon Dec 14 11:20:59 2020  [INFO]: Started reading
Mon Dec 14 11:20:59 2020  [INFO]: hologram updated
Mon Dec 14 11:20:59 2020  [INFO]: photostim sent
Mon Dec 14 11:20:59 2020  [INFO]: Returned to client
Mon Dec 14 11:20:59 2020  [INFO]: updated gui
Mon Dec 14 11:21:00 2020  [INFO]: Started reading
Mon Dec 14 11:21:00 2020  [INFO]: hologram updated
Mon Dec 14 11:21:00 2020  [INFO]: photostim sent
Mon Dec 14 11:21:00 2020  [INFO]: Returned to client
Mon Dec 14 11:21:00 2020  [INFO]: updated gui
Mon Dec 14 11:21:00 2020  [INFO]: Started reading
Mon Dec 14 11:21:00 2020  [INFO]: hologram updated
Mon Dec 14 11:21:01 2020  [INFO]: photostim sent
Mon Dec 14 11:21:01 2020  [INFO]: Returned to client
Mon Dec 14 11:21:01 2020  [INFO]: updated gui
Mon Dec 14 11:21:01 2020  [INFO]: Started reading
Mon Dec 14 11:21:01 2020  [INFO]: hologram updated
Mon Dec 14 11:21:01 2020  [INFO]: photostim sent
Mon Dec 14 11:21:01 2020  [INFO]: Returned to client
Mon Dec 14 11:21:01 2020  [INFO]: updated gui
Mon Dec 14 11:21:02 2020  [INFO]: Started reading
Mon Dec 14 11:21:02 2020  [INFO]: hologram updated
Mon Dec 14 11:21:02 2020  [INFO]: photostim sent
Mon Dec 14 11:21:02 2020  [INFO]: Returned to client
Mon Dec 14 11:21:02 2020  [INFO]: updated gui
Mon Dec 14 11:21:02 2020  [INFO]: Started reading
Mon Dec 14 11:21:02 2020  [INFO]: hologram updated
Mon Dec 14 11:21:03 2020  [INFO]: photostim sent
Mon Dec 14 11:21:03 2020  [INFO]: Returned to client
Mon Dec 14 11:21:03 2020  [INFO]: updated gui
Mon Dec 14 11:21:03 2020  [INFO]: Started reading
Mon Dec 14 11:21:03 2020  [INFO]: hologram updated
Mon Dec 14 11:21:03 2020  [INFO]: photostim sent
Mon Dec 14 11:21:03 2020  [INFO]: Returned to client
Mon Dec 14 11:21:03 2020  [INFO]: updated gui
Mon Dec 14 11:21:04 2020  [INFO]: Started reading
Mon Dec 14 11:21:04 2020  [INFO]: hologram updated
Mon Dec 14 11:21:04 2020  [INFO]: photostim sent
Mon Dec 14 11:21:04 2020  [INFO]: Returned to client
